template,missing_asset,src
satpambot/dashboard/templates/grafik.html,chart.js,https://cdn.jsdelivr.net/npm/chart.js
satpambot/dashboard/templates/layout.html,bootstrap.bundle.min.js,https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js
satpambot/dashboard/templates/layout.html,bootstrap.min.css,https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css
